video,label,frame_idx,time_sec,sharp_var,high_ratio,edge_glitch,block_energy,chroma_mismatch
Download (3).mp4,0,0,0.0,133.40115356445312,0.012589138001203537,0.78938889503479,9.20287275314331,1.0591974786270864
Download (3).mp4,0,3,0.1,147.52320861816406,0.013140653260052204,0.7829091548919678,9.961693286895752,1.0691516837589363
Download (3).mp4,0,6,0.2,155.61367797851562,0.01325802318751812,0.7820058465003967,9.802167415618896,1.0949858899321474
Download (3).mp4,0,9,0.3,3.2509148120880127,0.00021949595247860998,0.6479353904724121,4.161038398742676,1.3002645743076449
Download (3).mp4,0,12,0.4,4.534576416015625,0.000474417902296409,0.5978841781616211,4.372731685638428,1.240445191195024
Download (3).mp4,0,15,0.5,3.215026378631592,0.0001702044392004609,0.47213518619537354,4.010584712028503,1.309542503715007
Download (3).mp4,0,18,0.6,3.3045334815979004,0.00022696125961374491,0.420322060585022,3.8904988765716553,1.3006064541987625
Download (3).mp4,0,21,0.7,3.4937233924865723,0.00022029374667908996,0.36122268438339233,4.132938504219055,1.3013275222495393
Download (3).mp4,0,24,0.8,4.4482574462890625,0.00034278849489055574,0.4666936993598938,4.6431450843811035,1.2398447580992045
Download (3).mp4,0,27,0.9,3.619018316268921,0.0001480892242398113,0.43252432346343994,4.341985702514648,1.295292935933286
Download (3).mp4,0,30,1.0,3.342984676361084,0.00017975151422433555,0.45792439579963684,4.2109373807907104,1.3216760260642657
Download (3).mp4,0,33,1.1,3.653348207473755,0.0001758561993483454,0.631261944770813,4.508946418762207,1.319102717758689
Download (3).mp4,0,36,1.2,3.5995430946350098,0.0002723477955441922,0.6236401200294495,3.9601813554763794,1.2833754218383282
Download (3).mp4,0,39,1.3,107.98760986328125,0.012396958656609058,1.4502851963043213,7.039188385009766,1.1390387357872953
Download (3).mp4,0,42,1.4,126.03364562988281,0.016301680356264114,1.4631867408752441,7.5533013343811035,1.078400462158254
Download (3).mp4,0,45,1.5,127.7615966796875,0.016215024515986443,1.4653629064559937,7.4740424156188965,1.0803213320804688
Download (3).mp4,0,48,1.6,128.66839599609375,0.016246424987912178,1.4315626621246338,7.446446418762207,1.1101324009386833
Download (3).mp4,0,51,1.7,130.45370483398438,0.01634492352604866,1.4389245510101318,7.6091227531433105,1.115792442973718
Download (3).mp4,0,54,1.8,131.8306427001953,0.016867049038410187,1.4710819721221924,7.611265182495117,1.0784346654049748
Download (3).mp4,0,57,1.9,135.03955078125,0.01844223216176033,1.508935809135437,7.832535266876221,1.0752824271077641
Download (3).mp4,0,60,2.0,133.0683135986328,0.017266403883695602,1.525519847869873,7.8451361656188965,1.1187944492639574
Download (3).mp4,0,63,2.1,13.140478134155273,0.0018349930178374052,0.6133448481559753,7.3810484409332275,1.1296902640948747
Download (3).mp4,0,66,2.2,133.34707641601562,0.01696396805346012,1.5046931505203247,8.044480800628662,1.0826812099449565
Download (3).mp4,0,69,2.3,133.17465209960938,0.017496757209300995,1.4707984924316406,8.019909381866455,1.0944518190027699
Download (3).mp4,0,72,2.4,136.1234130859375,0.017652910202741623,1.4446041584014893,7.927293539047241,1.125494071044245
Download (3).mp4,0,75,2.5,138.61639404296875,0.018014539033174515,1.4851701259613037,7.870715856552124,1.127532497332364
Download (3).mp4,0,78,2.6,135.186767578125,0.017981208860874176,1.4538006782531738,7.889239072799683,1.0937225059920037
Download (3).mp4,0,81,2.7,136.42613220214844,0.017026834189891815,1.4472062587738037,7.904737949371338,1.0985440235830075
Download (3).mp4,0,84,2.8,135.44224548339844,0.016539784148335457,1.4441524744033813,7.739541292190552,1.1296148062888163
Download (3).mp4,0,87,2.9,135.76065063476562,0.016791513189673424,1.503490686416626,7.821824312210083,1.1325209100666271
Download (3).mp4,0,90,3.0,137.18850708007812,0.017172692343592644,1.5251796245574951,8.134954690933228,1.1130317175457776
